"municipio_res","CVE_MUN","NOM_MUN","diferencia"
1,26001,"Aconchi",0
2,26002,"Agua Prieta",0
3,26003,"Álamos",0
4,26004,"Altar",0
5,26005,"Arivechi",0
6,26006,"Arizpe",0
7,26007,"Átil",0
8,26008,"Bacadéhuachi",0
9,26009,"Bacanora",0
10,26010,"Bacerac",0
11,26011,"Bacoachi",0
12,26012,"Bácum",0
13,26013,"Banámichi",0
14,26014,"Baviácora",0
15,26015,"Bavispe",0
16,26016,"Benjamín Hill",0
17,26017,"Caborca",3
18,26018,"Cajeme",30
19,26019,"Cananea",0
20,26020,"Carbó",0
21,26021,"La Colorada",0
22,26022,"Cucurpe",0
23,26023,"Cumpas",0
24,26024,"Divisaderos",0
25,26025,"Empalme",4
26,26026,"Etchojoa",0
27,26027,"Fronteras",0
28,26028,"Granados",0
29,26029,"Guaymas",8
30,26030,"Hermosillo",42
31,26031,"Huachinera",NA
32,26032,"Huásabas",0
33,26033,"Huatabampo",0
34,26034,"Huépac",0
35,26035,"Imuris",0
36,26036,"Magdalena",0
37,26037,"Mazatán",0
38,26038,"Moctezuma",0
39,26039,"Naco",0
40,26040,"Nácori Chico",NA
41,26041,"Nacozari de García",0
42,26042,"Navojoa",1
43,26043,"Nogales",2
44,26044,"Ónavas",0
45,26045,"Opodepe",0
46,26046,"Oquitoa",0
47,26047,"Pitiquito",0
48,26048,"Puerto Peñasco",0
49,26049,"Quiriego",0
50,26050,"Rayón",0
51,26051,"Rosario",0
52,26052,"Sahuaripa",0
53,26053,"San Felipe de Jesús",0
54,26054,"San Javier",NA
55,26055,"San Luis Río Colorado",10
56,26056,"San Miguel de Horcasitas",0
57,26057,"San Pedro de la Cueva",0
58,26058,"Santa Ana",0
59,26059,"Santa Cruz",0
60,26060,"Sáric",0
61,26061,"Soyopa",NA
62,26062,"Suaqui Grande",0
63,26063,"Tepache",NA
64,26064,"Trincheras",0
65,26065,"Tubutama",0
66,26066,"Ures",0
67,26067,"Villa Hidalgo",0
68,26068,"Villa Pesqueira",0
69,26069,"Yécora",0
70,26070,"General Plutarco Elías Calles",0
71,26071,"Benito Juárez",0
72,26072,"San Ignacio Río Muerto",0
999,26999,"Sin municipio registrado",NA
